"Subject","n_solves","n_locations","age","sex","training_solves","log_training_solves","num_trapped","trap_rate_per_day","any_beh_prop"
"squirrel_1",86,3,"A","F",10,2.39789527279837,12,1,0.25
"squirrel_7",16,2,"P","F",2,1.09861228866811,17,1.41666666666667,0.117647058823529
"squirrel_8",13,4,"P","F",0,0,4,0.333333333333333,0.5
"squirrel_2",40,3,"A","F",776,6.65544035036765,22,1.83333333333333,0.181818181818182
"squirrel_3",33,1,"A","M",33,3.52636052461616,8,0.666666666666667,0.125
"squirrel_4",82,3,"A","F",10,2.39789527279837,9,0.75,0.444444444444444
"squirrel_5",492,3,"A","M",0,0,8,0.666666666666667,0.125
"squirrel_6",73,4,"P","F",0,0,6,0.5,0.333333333333333
"squirrel_9",28,4,"A","M",273,5.61312810638807,6,0.857142857142857,0.166666666666667
"squirrel_10",66,3,"A","F",401,5.99645208861902,11,0.916666666666667,0
"squirrel_11",134,5,"A","M",202,5.31320597904179,2,0.285714285714286,0.5
"squirrel_12",15,4,"P","F",0,0,2,0.166666666666667,0.5
"squirrel_13",526,6,"A","F",1168,7.06390396147207,12,1.71428571428571,0
"squirrel_14",119,4,"P","F",0,0,22,1.83333333333333,0
"squirrel_15",10,2,"P","M",0,0,3,0.428571428571429,0
"squirrel_16",68,5,"A","M",0,0,3,0.428571428571429,0.333333333333333
"squirrel_17",97,5,"A","M",0,0,1,0.142857142857143,1
"squirrel_18",10,2,"A","F",113,4.7361984483945,5,0.416666666666667,0.2
