Subject,n_solves,n_locations,age,sex,training_solves,log_training_solves,num_trapped,trap_rate_per_day,any_beh_prop
squirrel_25,8,2,A,F,20,3.044522438,7,0.583333333,0.142857143
squirrel_6,492,3,A,M,0,0,8,0.666666667,0.125
squirrel_24,119,4,P,F,0,0,22,1.833333333,0
squirrel_34,0,3,A,F,0,0,5,0.416666667,0.2
squirrel_2,40,3,A,F,776,6.65544035,22,1.833333333,0.181818182
squirrel_1,86,3,A,F,10,2.397895273,12,1,0.25
squirrel_10,13,4,P,F,0,0,4,0.333333333,0.5
squirrel_18,66,3,A,F,401,5.996452089,11,0.916666667,0
squirrel_14,0,2,P,F,0,0,10,0.833333333,0.2
squirrel_31,6,1,P,F,0,0,6,0.5,0.5
squirrel_32,10,2,A,F,113,4.736198448,5,0.416666667,0.2
squirrel_12,0,2,A,F,0,0,1,0.083333333,0
squirrel_4,8,1,A,M,132,4.890349128,12,1,0
squirrel_8,73,4,P,F,0,0,6,0.5,0.333333333
squirrel_7,5,2,A,M,0,0,1,0.083333333,0
squirrel_22,15,4,P,F,0,0,2,0.166666667,0.5
squirrel_5,82,3,A,F,10,2.397895273,9,0.75,0.444444444
squirrel_9,16,2,P,F,2,1.098612289,17,1.416666667,0.117647059
squirrel_13,0,1,A,F,0,0,0,0,0
squirrel_33,0,1,P,F,0,0,4,0.333333333,0.25
squirrel_20,0,1,A,M,0,0,6,0.5,0.166666667
squirrel_26,0,1,A,M,0,0,4,0.333333333,0.25
squirrel_30,0,1,P,F,0,0,1,0.142857143,1
squirrel_17,0,1,P,M,0,0,7,0.583333333,0
squirrel_3,33,1,A,M,33,3.526360525,8,0.666666667,0.125
squirrel_11,0,3,A,M,0,0,1,0.142857143,0
squirrel_23,526,6,A,F,1168,7.063903961,12,1.714285714,0
squirrel_29,97,5,A,M,0,0,1,0.142857143,1
squirrel_21,134,6,A,M,202,5.313205979,2,0.285714286,0.5
squirrel_16,28,4,A,M,273,5.613128106,6,0.857142857,0.166666667
squirrel_28,68,5,A,M,0,0,3,0.428571429,0.333333333
squirrel_27,10,2,P,M,0,0,3,0.428571429,0
squirrel_19,0,3,A,F,0,0,3,0.428571429,0
squirrel_15,8,3,P,F,0,0,5,0.714285714,0.6
