"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_6","right lever","exit",1,"C","right paw",0,2,"ipsi",0
"squirrel_19","right lever","no reaction",1,"C","both paws",0,1,"both",0
"squirrel_19","right lever","no reaction",2,"C","both paws",0.693147180559945,0,"both",0
"squirrel_19","left lever","no reaction",3,"C","both paws",1.09861228866811,1,"both",0
"squirrel_19","left lever","no reaction",4,"C","left paw",1.38629436111989,1,"ipsi",0
"squirrel_19","right lever","no reaction",5,"C","both paws",1.6094379124341,1,"both",0
"squirrel_6","right lever","exit",2,"C","right paw",0.693147180559945,5,"ipsi",0
"squirrel_19","right lever","no reaction",6,"C","both paws",1.79175946922805,1,"both",0
"squirrel_19","right lever","no reaction",7,"C","both paws",1.94591014905531,2,"both",0
"squirrel_19","left lever","no reaction",8,"C","both paws",2.07944154167984,0,"both",0
"squirrel_6","left lever","exit",3,"C","left paw",1.09861228866811,8,"ipsi",0
"squirrel_19","right lever","no reaction",9,"C","both paws",2.19722457733622,1,"both",0
"squirrel_19","right lever","no reaction",10,"C","right paw",2.30258509299405,1,"ipsi",0
"squirrel_19","right lever","no reaction",11,"C","right paw",2.39789527279837,0,"ipsi",0
"squirrel_19","right lever","no reaction",12,"C","both paws",2.484906649788,3,"both",0
"squirrel_19","right lever","no reaction",13,"C","both paws",2.56494935746154,0,"both",0
"squirrel_19","left lever","no reaction",14,"C","both paws",2.63905732961526,1,"both",0
"squirrel_1","left lever","exit",1,"C","left paw",0,7,"ipsi",0
"squirrel_1","left lever","exit",2,"C","left paw",0.693147180559945,4,"ipsi",0
"squirrel_1","right lever","exit",3,"C","right paw",1.09861228866811,6,"ipsi",0
"squirrel_10","left lever","exit",1,"C","both paws",0,2,"both",0
"squirrel_19","right lever","no reaction",15,"C","both paws",2.70805020110221,0,"both",0
"squirrel_19","right lever","no reaction",16,"C","both paws",2.77258872223978,0,"both",0
"squirrel_19","right lever","no reaction",17,"C","both paws",2.83321334405622,0,"both",0
"squirrel_19","left lever","no reaction",18,"C","both paws",2.89037175789616,0,"both",0
"squirrel_19","left lever","no reaction",19,"C","both paws",2.94443897916644,0,"both",0
