"Subject","cumulative_visits","solves_per_visit","latency_to_first_solve","consumption","total_time_present","age","sex","con_pres","log_cumulative_visits"
"squirrel_25",1,0,NA,1,5,"A","F",0,0
"squirrel_6",1,1,86.599,1,86.833,"A","M",0,0
"squirrel_6",2,0,NA,1,11.3,"A","M",0,0.693147180559945
"squirrel_6",3,0,NA,0,17.4,"A","M",0,1.09861228866811
"squirrel_6",4,1,44.133,1,44.533,"A","M",0,1.38629436111989
"squirrel_6",5,0,NA,1,90.199,"A","M",0,1.6094379124341
"squirrel_6",6,0,NA,0,11.5,"A","M",0,1.79175946922805
"squirrel_24",1,3,7.8,1,116.699,"P","F",0,0
"squirrel_24",2,2,38.833,1,116.932,"P","F",0,0.693147180559945
"squirrel_24",3,3,23.5,1,157.865,"P","F",0,1.09861228866811
"squirrel_24",4,3,40.7329999999999,1,99.072,"P","F",0,1.38629436111989
"squirrel_34",1,0,NA,1,69.606,"A","F",0,0
"squirrel_6",1,0,NA,0,3.7,"A","M",0,0
"squirrel_6",2,0,NA,0,25.199,"A","M",0,0.693147180559945
"squirrel_6",3,1,14.133,0,14.133,"A","M",0,1.09861228866811
"squirrel_6",4,0,NA,1,36.366,"A","M",0,1.38629436111989
"squirrel_6",5,0,NA,0,15.5,"A","M",0,1.6094379124341
"squirrel_6",6,0,NA,0,18.306,"A","M",0,1.79175946922805
"squirrel_6",7,0,NA,0,5.60000000000002,"A","M",1,1.94591014905531
"squirrel_6",8,0,NA,0,24.766,"A","M",1,2.07944154167984
"squirrel_6",9,0,NA,0,28.733,"A","M",1,2.19722457733622
"squirrel_6",10,0,NA,0,22.733,"A","M",1,2.30258509299405
"squirrel_24",1,0,NA,0,1.833,"P","F",0,0
"squirrel_24",2,2,7.19999999999999,1,63.433,"P","F",1,0.693147180559945
"squirrel_24",3,1,53.339,1,83.539,"P","F",1,1.09861228866811
"squirrel_34",1,0,NA,0,5,"A","F",0,0
"squirrel_25",1,0,NA,0,47.2,"A","F",0,0
"squirrel_25",2,0,NA,0,9.467,"A","F",0,0.693147180559945
"squirrel_25",3,0,NA,1,93.805,"A","F",0,1.09861228866811
"squirrel_25",4,0,NA,0,2.93299999999999,"A","F",0,1.38629436111989
"squirrel_25",5,1,4.93299999999999,0,5.36700000000002,"A","F",0,1.6094379124341
"squirrel_25",6,0,NA,1,81.638,"A","F",0,1.79175946922805
"squirrel_25",7,0,NA,1,21.9000000000001,"A","F",0,1.94591014905531
"squirrel_25",8,0,NA,0,2.86700000000008,"A","F",0,2.07944154167984
"squirrel_25",9,0,NA,0,26.2329999999999,"A","F",0,2.19722457733622
"squirrel_2",1,0,NA,1,49.2329999999999,"A","F",0,0
"squirrel_2",2,1,86.2660000000001,1,86.466,"A","F",0,0.693147180559945
"squirrel_2",3,1,104.772,1,105.172,"A","F",0,1.09861228866811
"squirrel_2",4,1,56.973,1,57.1390000000001,"A","F",0,1.38629436111989
"squirrel_2",5,0,NA,1,5,"A","F",0,1.6094379124341
"squirrel_6",1,1,9.36599999999999,0,10.1659999999999,"A","M",0,0
"squirrel_6",2,0,NA,1,42.333,"A","M",0,0.693147180559945
"squirrel_24",1,0,NA,0,6,"P","F",0,0
"squirrel_34",2,0,NA,0,19.033,"A","F",0,0.693147180559945
"squirrel_34",3,0,NA,0,18.733,"A","F",0,1.09861228866811
"squirrel_34",4,1,2.53399999999999,0,2.80000000000001,"A","F",0,1.38629436111989
"squirrel_34",5,0,NA,0,1.66600000000003,"A","F",0,1.6094379124341
"squirrel_34",6,0,NA,0,22,"A","F",0,1.79175946922805
"squirrel_34",7,0,NA,0,21.233,"A","F",0,1.94591014905531
"squirrel_34",8,0,NA,0,43.533,"A","F",0,2.07944154167984
"squirrel_1",1,1,4.09999999999999,0,4.69999999999999,"A","F",0,0
"squirrel_1",2,0,NA,0,16.899,"A","F",0,0.693147180559945
"squirrel_1",3,0,NA,0,7.70000000000002,"A","F",0,1.09861228866811
"squirrel_1",4,0,NA,0,31.767,"A","F",0,1.38629436111989
"squirrel_1",5,0,NA,0,13,"A","F",0,1.6094379124341
"squirrel_10",1,0,NA,0,101.699,"P","F",0,0
"squirrel_10",2,0,NA,1,20.506,"P","F",0,0.693147180559945
"squirrel_1",1,0,NA,0,46.666,"A","F",0,0
"squirrel_1",2,0,NA,0,42.106,"A","F",0,0.693147180559945
"squirrel_1",4,1,24.134,0,25.367,"A","F",1,1.38629436111989
"squirrel_1",5,0,NA,0,87.999,"A","F",0,1.6094379124341
"squirrel_1",6,0,NA,0,27.866,"A","F",0,1.79175946922805
"squirrel_1",7,0,NA,0,7.49899999999997,"A","F",0,1.94591014905531
"squirrel_1",8,0,NA,1,209.331,"A","F",0,2.07944154167984
"squirrel_1",9,1,36.7,0,37.8000000000001,"A","F",0,2.19722457733622
"squirrel_1",10,0,NA,1,84.106,"A","F",0,2.30258509299405
"squirrel_1",11,0,NA,0,13.8659999999999,"A","F",0,2.39789527279837
"squirrel_10",1,1,6.47300000000001,0,7.47300000000001,"P","F",0,0
"squirrel_18",1,0,NA,0,41.5330000000001,"A","F",1,0
"squirrel_18",2,4,69.433,1,262.664,"A","F",0,0.693147180559945
"squirrel_24",1,6,4.5,1,140.266,"P","F",0,0
"squirrel_34",1,0,NA,0,21.206,"A","F",0,0
"squirrel_34",2,0,NA,0,11.006,"A","F",0,0.693147180559945
"squirrel_34",3,0,NA,1,16.867,"A","F",0,1.09861228866811
"squirrel_34",4,0,NA,0,5.90000000000003,"A","F",0,1.38629436111989
"squirrel_34",5,0,NA,0,9.33300000000003,"A","F",0,1.6094379124341
"squirrel_1",1,0,NA,0,28.3,"A","F",0,0
